owner,modifier,adjective,type,attribute,value
Aaron,9,Fluffy,Twine,Acridness,7434
Ab,3,Sedate,Bow,Wrongness,21560
Abbott,2,Creepy,Curd,Knowledgeableness,42558
Abe,1,Brave,Shoe,Obsoleteness,34458
Abel,7,Green,Eyeball,Obtainableness,32934
Abner,1,Blue-eyed,Lightsaber,Overtness,18369
Abraham,1,Sweltering,Screwdriver,Skinnyness,7016
Abram,9,Feeble feigned,Teacup,Alluringness,6639
Ace,9,Murky,Cheese,Callousness,22716
Acie,3,Flawless,Rod,Highfalutinness,15119
Adam,5,Illustrious,Tome,Adamantness,132006
Add,7,Uttermost,Shiv,Patheticness,17470
Addie,2,Fine,Thingamajig,Preciousness,5520
Addison,6,Heartbreaking,Hat,Stormyness,3044
Adelard,2,Laughable,Carrot,Lopsidedness,21707
Adelbert,5,Powerful,Necklace,Grandioseness,6135
Aden,5,Xenophobic,Coat,Periodicness,3208
Adolf,6,Bright,Jar,Powerfulness,2027
Adolfo,5,Difficult,Kukri,Clutteredness,3683
Adolph,6,Outgoing,Scalpel,Cooperativeness,37849
Adolphus,8,Disillusioned,Spoon,Excitingness,37379
Adrian,1,Marvelous,Toe,Absentness,21032
Adrien,7,Cheerful,Greathammer,Uselessness,29814
Agustus,5,Super,Breastplate,Auspiciousness,8536
Al,6,Dusty,Shiv,Hushedness,6647
Alan,8,grey,Hat,Unknownness,2578
Alanzo,8,Unbecoming,Cheese,Homelyness,5614
Albert,9,Awesome,Manuscript,Thankfulness,13589
Alberto,6,Mature,Apple,Pricklyness,114516
Albertus,5,Boundless,Dagger,Valuableness,46204
Albin,2,Hoc,Longsword,Hardness,23348
Albion,7,Jumpy,Lego,Meanness,2340
Alcide,9,Abaft,Toothbrush,Muteness,45339
Alden,2,Psychedelic,Phone,Puffyness,83384
Alec,3,Nosy,Hat,Rightness,20308
Alex,6,Grandiose,Bow,Racialness,7531
Alexander,5,Little,Toe,Oneness,8487
Alexis,8,Likeable,Fish,Defiantness,6
Alf,3,Possessive,Spoon,Shutness,10208
Alfonso,3,Nippy,Teacup,Usedness,15755
Alford,9,Abrupt,Maul,Imminentness,13029
Alfred,8,Axiomatic,Scalpel,Politeness,77967
Algie,3,Spiky,Screwdriver,Mundaneness,26470
Alice,3,Lowly,Arrow,Roughness,12029
Allan,9,Mundane,Teacup,Quixoticness,18956
Allen,5,Bite-sized,Staff,Meatyness,1952
Allie,4,Horrible,Book,Pastoralness,35902
Allison,9,Strange,Book,Dashingness,67020
Alma,2,Vivacious,Curd,Disastrousness,24118
Almer,9,Distinct,Twine,Noxiousness,18123
Almon,7,Nippy,Book,Abjectness,13735
Alois,1,Deserted,Sword,Elegantness,6143
Alonza,2,Earsplitting,Greathammer,Selfishness,10127
Alonzo,4,Thankful,Book,Foolishness,35288
Aloysius,3,High-pitched,Twine,Sulkyness,41621
Alpha,3,Stale,Lego,Obeisantness,17119
Alpheus,2,Solid,Dagger,Substantialness,51400
Alphonse,9,Craven,Text,Deeplyness,8469
Alphonso,1,Elated,Lightsaber,Luckyness,20944
Alto,5,Lovely,Toothbrush,Ludicrousness,2845
Alton,5,Irritating,Maul,Far-flungness,10882
Alva,9,Unwritten,Carrot,Maleness,29690
Alvah,5,Super,Curd,Materialisticness,9607
Alvia,5,Grouchy,Club,Terrificness,4341
Alvie,9,Exotic,Text,Bitterness,113405
Alvin,2,Jobless,Chalice,Capableness,3563
Alvis,9,Super,Orange,Greedyness,14958
Ambers,1,Spiteful,Thingamajig,Jumbledness,6310
